Date,Confirmed,Deaths,Recovered,Active
2020-01-22,2,0,0,2
2020-01-23,3,0,0,3
2020-01-24,5,0,0,5
2020-01-25,7,0,0,7
2020-01-26,8,0,2,6
2020-01-27,8,0,2,6
2020-01-28,14,0,5,9
2020-01-29,14,0,5,9
2020-01-30,14,0,5,9
2020-01-31,19,0,5,14
2020-02-01,19,0,5,14
2020-02-02,19,0,5,14
2020-02-03,19,0,5,14
2020-02-04,25,0,5,20
2020-02-05,25,0,5,20
2020-02-06,25,0,5,20
2020-02-07,25,0,5,20
2020-02-08,32,0,10,22
2020-02-09,32,0,10,22
2020-02-10,32,0,10,22
2020-02-11,33,0,10,23
2020-02-12,33,0,10,23
2020-02-13,33,0,12,21
2020-02-14,33,0,12,21
2020-02-15,33,0,12,21
2020-02-16,34,0,14,20
2020-02-17,35,0,15,20
2020-02-18,35,0,15,20
2020-02-19,35,0,15,20
2020-02-20,35,0,15,20
2020-02-21,35,0,17,18
2020-02-22,35,0,17,18
2020-02-23,35,0,21,14
2020-02-24,35,0,21,14
2020-02-25,37,0,22,15
2020-02-26,40,0,22,18
2020-02-27,40,0,22,18
2020-02-28,41,0,28,13
2020-02-29,42,0,28,14
2020-03-01,42,1,28,13
2020-03-02,43,1,31,11
2020-03-03,43,1,31,11
2020-03-04,43,1,31,11
2020-03-05,47,1,31,15
2020-03-06,48,1,31,16
2020-03-07,50,1,31,18
2020-03-08,50,1,31,18
2020-03-09,50,1,31,18
2020-03-10,53,1,33,19
2020-03-11,59,1,34,24
2020-03-12,70,1,34,35
2020-03-13,75,1,35,39
2020-03-14,82,1,35,46
2020-03-15,114,1,35,78
2020-03-16,147,1,35,111
2020-03-17,177,1,41,135
2020-03-18,212,1,42,169
2020-03-19,272,1,42,229
2020-03-20,322,1,42,279
2020-03-21,411,1,42,368
2020-03-22,599,1,44,554
2020-03-23,721,1,44,676
2020-03-24,827,4,52,771
2020-03-25,934,4,70,860
2020-03-26,1045,4,88,953
2020-03-27,1136,5,97,1034
2020-03-28,1245,6,97,1142
2020-03-29,1388,7,97,1284
2020-03-30,1524,9,229,1286
2020-03-31,1651,10,342,1299
2020-04-01,1771,12,505,1254
2020-04-02,1875,15,505,1355
2020-04-03,1978,19,612,1347
2020-04-04,2067,20,674,1373
2020-04-05,2169,23,793,1353
2020-04-06,2220,26,793,1401
2020-04-07,2258,27,888,1343
2020-04-08,2369,30,888,1451
2020-04-09,2423,32,940,1451
2020-04-10,2473,33,1013,1427
2020-04-11,2518,35,1135,1348
2020-04-12,2551,38,1218,1295
2020-04-13,2579,40,1288,1251
2020-04-14,2613,41,1405,1167
2020-04-15,2643,43,1497,1103
2020-04-16,2672,46,1593,1033
2020-04-17,2700,47,1689,964
2020-04-18,2733,47,1787,899
2020-04-19,2765,47,1928,790
2020-04-20,2792,47,1999,746
2020-04-21,2811,48,2108,655
2020-04-22,2826,49,2352,425
2020-04-23,2839,50,2430,359
2020-04-24,2907,51,2547,309
2020-04-25,2907,51,2547,309
2020-04-26,2922,51,2594,277
2020-04-27,2931,52,2609,270
2020-04-28,2938,54,2652,232
2020-04-29,2947,54,2665,228
2020-04-30,2954,54,2684,216
2020-05-01,2960,54,2719,187
2020-05-02,2966,54,2732,180
2020-05-03,2969,54,2739,176
2020-05-04,2987,54,2740,193
2020-05-05,2988,54,2747,187
2020-05-06,2989,55,2761,173
2020-05-07,2992,55,2772,165
2020-05-08,3000,55,2784,161
2020-05-09,3004,56,2787,161
2020-05-10,3009,56,2794,159
2020-05-11,3015,56,2796,163
2020-05-12,3017,56,2798,163
2020-05-13,3017,56,2844,117
2020-05-14,3018,56,2850,112
2020-05-15,3025,56,2854,115
2020-05-16,3025,56,2855,114
2020-05-17,3028,56,2856,116
2020-05-18,3031,56,2857,118
2020-05-19,3033,56,2857,120
2020-05-20,3034,56,2888,90
2020-05-21,3037,56,2897,84
2020-05-22,3037,56,2910,71
2020-05-23,3040,56,2916,68
2020-05-24,3040,56,2921,63
2020-05-25,3042,57,2928,57
2020-05-26,3045,57,2929,59
2020-05-27,3054,57,2931,66
2020-05-28,3065,57,2945,63
2020-05-29,3076,57,2945,74
2020-05-30,3077,57,2961,59
2020-05-31,3081,57,2963,61
2020-06-01,3082,57,2965,60
2020-06-02,3083,58,2966,59
2020-06-03,3084,58,2968,58
2020-06-04,3101,58,2968,75
2020-06-05,3102,58,2971,73
2020-06-06,3104,58,2971,75
2020-06-07,3112,58,2972,82
2020-06-08,3119,58,2973,88
2020-06-09,3121,58,2973,90
2020-06-10,3125,58,2981,86
2020-06-11,3125,58,2987,80
2020-06-12,3129,58,2987,84
2020-06-13,3134,58,2987,89
2020-06-14,3135,58,2987,90
2020-06-15,3135,58,2987,90
2020-06-16,3135,58,2993,84
2020-06-17,3135,58,2996,81
2020-06-18,3141,58,2997,86
2020-06-19,3146,58,3008,80
2020-06-20,3147,58,3018,71
2020-06-21,3148,58,3018,72
2020-06-22,3151,58,3022,71
2020-06-23,3156,58,3023,75
2020-06-24,3158,58,3038,62
2020-06-25,3158,58,3038,62
2020-06-26,3162,58,3040,64
2020-06-27,3162,58,3053,51
2020-06-28,3162,58,3053,51
2020-06-29,3169,58,3053,58
2020-06-30,3171,58,3056,57
2020-07-01,3173,58,3059,56
2020-07-02,3179,58,3059,62
2020-07-03,3180,58,3066,56
2020-07-04,3185,58,3066,61
2020-07-05,3190,58,3071,61
2020-07-06,3195,58,3072,65
2020-07-07,3197,58,3074,65
2020-07-08,3197,58,3074,65
2020-07-09,3202,58,3085,59
2020-07-10,3202,58,3087,57
2020-07-11,3216,58,3088,70
2020-07-12,3217,58,3088,71
2020-07-13,3220,58,3090,72
2020-07-14,3227,58,3091,78
2020-07-15,3232,58,3092,82
2020-07-16,3236,58,3095,83
2020-07-17,3239,58,3096,85
2020-07-18,3246,58,3096,92
2020-07-19,3250,58,3096,96
2020-07-20,3250,58,3096,96
2020-07-21,3255,58,3105,92
2020-07-22,3261,58,3105,98
2020-07-23,3279,58,3107,114
2020-07-24,3279,58,3107,114
2020-07-25,3282,58,3109,115
2020-07-26,3291,58,3109,124
2020-07-27,3297,58,3111,128
